,ID,source.x,target.x,ligand.x,receptor.x,prob.x,pval.x,interaction_name.x,interaction_name_2.x,pathway_name.x,annotation.x,evidence.x,source.y,target.y,ligand.y,receptor.y,prob.y,pval.y,interaction_name.y,interaction_name_2.y,pathway_name.y,annotation.y,evidence.y,abslogPdif,INTastX,INTastY,INT,ID (source_target_ligand_receptor)
226,AST_Pvalb_PTPRM_PTPRM,AST,Pvalb,Ptprm,Ptprm,0.246208632084659,0.0,PTPRM_PTPRM,Ptprm  - Ptprm,PTPRM,Cell-Cell Contact,KEGG: mmu04514,AST,Pvalb,Ptprm,Ptprm,0.261217544384838,0.0,PTPRM_PTPRM,Ptprm  - Ptprm,PTPRM,Cell-Cell Contact,KEGG: mmu04514,0.025699067242384,AST_Pvalb,AST_Pvalb,AST_Pvalb_AST_Pvalb,NA
3910,Pvalb_AST_PTPRM_PTPRM,Pvalb,AST,Ptprm,Ptprm,0.246208632084659,0.0,PTPRM_PTPRM,Ptprm  - Ptprm,PTPRM,Cell-Cell Contact,KEGG: mmu04514,Pvalb,AST,Ptprm,Ptprm,0.261217544384838,0.0,PTPRM_PTPRM,Ptprm  - Ptprm,PTPRM,Cell-Cell Contact,KEGG: mmu04514,0.025699067242384,Pvalb_AST,Pvalb_AST,Pvalb_AST_Pvalb_AST,NA
87,AST_L4/L5IT_PTPRM_PTPRM,AST,L4/L5IT,Ptprm,Ptprm,0.192742494115763,0.0,PTPRM_PTPRM,Ptprm  - Ptprm,PTPRM,Cell-Cell Contact,KEGG: mmu04514,AST,L4/L5IT,Ptprm,Ptprm,0.20389615068377,0.0,PTPRM_PTPRM,Ptprm  - Ptprm,PTPRM,Cell-Cell Contact,KEGG: mmu04514,0.0244315523758339,AST_L4/L5IT,AST_L4/L5IT,AST_L4/L5IT_AST_L4/L5IT,NA
1362,L4/L5IT_AST_PTPRM_PTPRM,L4/L5IT,AST,Ptprm,Ptprm,0.192742494115763,0.0,PTPRM_PTPRM,Ptprm  - Ptprm,PTPRM,Cell-Cell Contact,KEGG: mmu04514,L4/L5IT,AST,Ptprm,Ptprm,0.20389615068377,0.0,PTPRM_PTPRM,Ptprm  - Ptprm,PTPRM,Cell-Cell Contact,KEGG: mmu04514,0.0244315523758339,L4/L5IT_AST,L4/L5IT_AST,L4/L5IT_AST_L4/L5IT_AST,NA
242,AST_Sst_PTPRM_PTPRM,AST,Sst,Ptprm,Ptprm,0.243038973491436,0.0,PTPRM_PTPRM,Ptprm  - Ptprm,PTPRM,Cell-Cell Contact,KEGG: mmu04514,AST,Sst,Ptprm,Ptprm,0.256552120868631,0.0,PTPRM_PTPRM,Ptprm  - Ptprm,PTPRM,Cell-Cell Contact,KEGG: mmu04514,0.0234996870178392,AST_Sst,AST_Sst,AST_Sst_AST_Sst,NA
4161,Sst_AST_PTPRM_PTPRM,Sst,AST,Ptprm,Ptprm,0.243038973491436,0.0,PTPRM_PTPRM,Ptprm  - Ptprm,PTPRM,Cell-Cell Contact,KEGG: mmu04514,Sst,AST,Ptprm,Ptprm,0.256552120868631,0.0,PTPRM_PTPRM,Ptprm  - Ptprm,PTPRM,Cell-Cell Contact,KEGG: mmu04514,0.0234996870178392,Sst_AST,Sst_AST,Sst_AST_Sst_AST,NA
2346,L5PT_AST_CDH4_CDH4,L5PT,AST,Cdh4,Cdh4,0.0396926096824822,0.0,CDH4_CDH4,Cdh4  - Cdh4,CDH,Cell-Cell Contact,KEGG: mmu04514,L5PT,AST,Cdh4,Cdh4,0.0380365301613783,0.0,CDH4_CDH4,Cdh4  - Cdh4,CDH,Cell-Cell Contact,KEGG: mmu04514,0.0185087614828556,L5PT_AST,L5PT_AST,L5PT_AST_L5PT_AST,NA
126,AST_L5PT_CDH4_CDH4,AST,L5PT,Cdh4,Cdh4,0.0396926096824822,0.0,CDH4_CDH4,Cdh4  - Cdh4,CDH,Cell-Cell Contact,KEGG: mmu04514,AST,L5PT,Cdh4,Cdh4,0.0380365301613783,0.0,CDH4_CDH4,Cdh4  - Cdh4,CDH,Cell-Cell Contact,KEGG: mmu04514,0.0185087614828556,AST_L5PT,AST_L5PT,AST_L5PT_AST_L5PT,NA
103,AST_L5IT_PTPRM_PTPRM,AST,L5IT,Ptprm,Ptprm,0.230857699258789,0.0,PTPRM_PTPRM,Ptprm  - Ptprm,PTPRM,Cell-Cell Contact,KEGG: mmu04514,AST,L5IT,Ptprm,Ptprm,0.240075787970027,0.0,PTPRM_PTPRM,Ptprm  - Ptprm,PTPRM,Cell-Cell Contact,KEGG: mmu04514,0.0170039998270095,AST_L5IT,AST_L5IT,AST_L5IT_AST_L5IT,NA
1767,L5IT_AST_PTPRM_PTPRM,L5IT,AST,Ptprm,Ptprm,0.230857699258789,0.0,PTPRM_PTPRM,Ptprm  - Ptprm,PTPRM,Cell-Cell Contact,KEGG: mmu04514,L5IT,AST,Ptprm,Ptprm,0.240075787970027,0.0,PTPRM_PTPRM,Ptprm  - Ptprm,PTPRM,Cell-Cell Contact,KEGG: mmu04514,0.0170039998270095,L5IT_AST,L5IT_AST,L5IT_AST_L5IT_AST,NA
65,AST_L4_NEGR1_NEGR1,AST,L4,Negr1,Negr1,0.424634852120168,0.0,NEGR1_NEGR1,Negr1  - Negr1,NEGR,Cell-Cell Contact,KEGG: mmu04514,AST,L4,Negr1,Negr1,0.439874198657657,0.0,NEGR1_NEGR1,Negr1  - Negr1,NEGR,Cell-Cell Contact,KEGG: mmu04514,0.0153128524344798,AST_L4,AST_L4,AST_L4_AST_L4,NA
1032,L4_AST_NEGR1_NEGR1,L4,AST,Negr1,Negr1,0.424634852120168,0.0,NEGR1_NEGR1,Negr1  - Negr1,NEGR,Cell-Cell Contact,KEGG: mmu04514,L4,AST,Negr1,Negr1,0.439874198657657,0.0,NEGR1_NEGR1,Negr1  - Negr1,NEGR,Cell-Cell Contact,KEGG: mmu04514,0.0153128524344798,L4_AST,L4_AST,L4_AST_L4_AST,NA
238,AST_Sst_NEGR1_NEGR1,AST,Sst,Negr1,Negr1,0.42241625847807,0.0,NEGR1_NEGR1,Negr1  - Negr1,NEGR,Cell-Cell Contact,KEGG: mmu04514,AST,Sst,Negr1,Negr1,0.435490297980125,0.0,NEGR1_NEGR1,Negr1  - Negr1,NEGR,Cell-Cell Contact,KEGG: mmu04514,0.0132378585631931,AST_Sst,AST_Sst,AST_Sst_AST_Sst,NA
4159,Sst_AST_NEGR1_NEGR1,Sst,AST,Negr1,Negr1,0.42241625847807,0.0,NEGR1_NEGR1,Negr1  - Negr1,NEGR,Cell-Cell Contact,KEGG: mmu04514,Sst,AST,Negr1,Negr1,0.435490297980125,0.0,NEGR1_NEGR1,Negr1  - Negr1,NEGR,Cell-Cell Contact,KEGG: mmu04514,0.0132378585631931,Sst_AST,Sst_AST,Sst_AST_Sst_AST,NA
4463,Vlp_AST_CDH4_CDH4,Vlp,AST,Cdh4,Cdh4,0.0144880321598383,0.0,CDH4_CDH4,Cdh4  - Cdh4,CDH,Cell-Cell Contact,KEGG: mmu04514,Vlp,AST,Cdh4,Cdh4,0.0143801147764964,0.0,CDH4_CDH4,Cdh4  - Cdh4,CDH,Cell-Cell Contact,KEGG: mmu04514,0.003247048902377,Vlp_AST,Vlp_AST,Vlp_AST_Vlp_AST,NA
247,AST_Vlp_CDH4_CDH4,AST,Vlp,Cdh4,Cdh4,0.0144880321598383,0.0,CDH4_CDH4,Cdh4  - Cdh4,CDH,Cell-Cell Contact,KEGG: mmu04514,AST,Vlp,Cdh4,Cdh4,0.0143801147764964,0.0,CDH4_CDH4,Cdh4  - Cdh4,CDH,Cell-Cell Contact,KEGG: mmu04514,0.003247048902377,AST_Vlp,AST_Vlp,AST_Vlp_AST_Vlp,NA
